type of dwelling involved in the sale,general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of ROAD access to property,Type of ALLEY access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction & remodel date,Type of roof,Roof material,Exterior covering on the house,Masonry veneer area in square feet,exterior quality and condition of the material,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of 1st & 2nd basement finished area,Type 1 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second-floor square feet,Above grade (ground) living area square feet,Basement full bathrooms,Full bathrooms above grade,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality & condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,76,9591,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Single-family Detached,One story,Very Good,Average,2004&2005,Hip,Standard (Composite) Shingle,Vinyl Siding,262,Good&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,1088,625,1713,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1713,0,1713,1,2,3,1,Excellent,7,Typical Functionality,1,Good,Attached to the home,Finished,3,856,Average/Typical,Paved,0,26,No,No,No,Jan,2009,Warranty Deed - Conventional,Normal Sale,274900
1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,80,8546,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Edwards,Normal,Single-family Detached,One story,Below Average,Average,2003&2004,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1121,1121,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1121,0,1121,0,2,2,1,Average/Typical,5,Typical Functionality,0,No,Attached to the home,Rough Finished,2,440,Average/Typical,Paved,132,64,No,No,No,Mar,2010,Warranty Deed - Conventional,Normal Sale,140000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,10125,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Mitchell,Normal,Single-family Detached,One story,Above Average,Above Average,1977,Gable,Standard (Composite) Shingle,Plywood,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Low Quality,641,276,1196,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1279,0,1279,0,2,3,1,Average/Typical,6,Typical Functionality,2,Fair,Detached from home,Unfinished,2,473,Average/Typical,Paved,238,83,No,Minimum Privacy,No,Feb,2008,Warranty Deed - Conventional,Normal Sale,171500
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,50,7000,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Old Town,Adjacent to arterial street&Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Above Average,1924&1950,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical&Good,Brick & Tile,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Low Quality&Unfinished,617,0,617,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,865,445,1310,0,2,2,1,Average/Typical,6,Minor Deductions 1,0,No,Attached to the home,Unfinished,1,398,Average/Typical,Paved,0,0,No,No,No,May,2006,Court Officer Deed/Estate,Normal Sale,112000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,0,4438,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Townhouse End Unit,One story,Above Average,Average,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,205,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,662,186,848,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,848,0,848,1,1,1,1,Good,3,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,420,Average/Typical,Paved,149,0,No,No,No,Jan,2008,Warranty Deed - Conventional,Normal Sale,149000
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,50,3500,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,1947&1950,Gable,Standard (Composite) Shingle,Asbestos Shingles,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality&Unfinished,312,408,720,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,720,564,1284,0,1,2,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,1,240,Average/Typical,Paved,0,35,No,Minimum Wood/Wire,No,Apr,2009,Warranty Deed - Conventional,Normal Sale,110000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,99,11851,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Gilbert,Normal,Single-family Detached,One story,Good,Average,1990,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1424,1424,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1442,0,1442,0,2,3,1,Average/Typical,5,Typical Functionality,0,No,Attached to the home,Rough Finished,2,500,Average/Typical,Paved,0,34,No,No,No,May,2009,Warranty Deed - Conventional,Normal Sale,180500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,40,13673,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Sawyer,Adjacent to East-West Railroad&Normal,Single-family Detached,One story,Average,Average,1962,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical&Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1140,1140,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1696,0,1696,0,1,3,1,Average/Typical,8,Minor Deductions 2,1,Average,Attached to the home,Rough Finished,1,349,Average/Typical,Paved,0,30,No,No,No,Mar,2007,Warranty Deed - Conventional,Normal Sale,143900
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12493,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Below Average,Average,1960,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Average Rec Room,419,375,1100,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1100,0,1100,1,1,3,1,Average/Typical,6,Typical Functionality,1,Poor,Attached to the home,Rough Finished,1,312,Average/Typical,Paved,355,0,No,Good Wood,No,Apr,2008,Warranty Deed - Conventional,Normal Sale,141000
2-STORY 1946 & NEWER,Residential Low-Density,0,14364,Paved,No alley access,Slightly irregular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Sawyer West,Normal,Single-family Detached,Two-story,Good,Average,1988&1989,Gable,Standard (Composite) Shingle,Plywood,128,Good&Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters&Unfinished,1065,92,1157,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1180,882,2062,1,2,3,1,Average/Typical,7,Typical Functionality,1,Good,Attached to the home,Finished,2,454,Average/Typical,Paved,60,55,No,No,No,Apr,2007,Warranty Deed - Conventional,Normal Sale,277000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,8250,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Good,1964,Hip,Standard (Composite) Shingle,Hard Board,260,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,787,305,1092,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1092,0,1092,1,1,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Rough Finished,2,504,Average/Typical&Good,Paved,0,0,No,Minimum Privacy,No,Jul,2008,Warranty Deed - Conventional,Normal Sale,145000
1-STORY 1945 & OLDER,Residential Low-Density,67,5604,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Single-family Detached,One story,Average,Above Average,1925&1950,Gable,Standard (Composite) Shingle,Stucco,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,468,396,864,Gas forced warm air furnace,Average/Typical,No,Fuse Box over 60 AMP and all Romex wiring (Average),864,0,864,1,1,2,1,Average/Typical,5,Typical Functionality,0,No,No,No,0,0,No,Paved,0,0,No,No,No,Apr,2008,Warranty Deed - Conventional,Normal Sale,98000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,83,10420,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Edwards,Normal,Single-family Detached,One story,Above Average,Average,2009,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Good Living Quarters&Unfinished,36,1176,1212,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1212,0,1212,0,2,3,1,Good,6,Typical Functionality,0,No,Attached to the home,Rough Finished,2,460,Average/Typical,Paved,100,22,No,No,No,Mar,2010,Warranty Deed - Conventional,Normal Sale,186000
2-STORY 1946 & NEWER,Floating Village Residential,72,8640,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Single-family Detached,Two-story,Good,Average,2009,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,822,78,900,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,932,920,1852,1,2,3,1,Good,7,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,644,Average/Typical,Paved,168,108,No,No,No,Jul,2009,Home just constructed and sold,Home was not completed when last assessed,252678
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,43,13568,Paved,No alley access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,College Creek,Normal,Single-family Detached,One story,Average,Average,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,716,274,990,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,990,0,990,0,1,3,1,Average/Typical,5,Typical Functionality,0,No,Attached to the home,Unfinished,2,576,Average/Typical,Paved,224,0,No,No,No,Jul,2006,Warranty Deed - Conventional,Normal Sale,156000
2-STORY 1946 & NEWER,Residential Low-Density,0,10900,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,College Creek,Normal,Single-family Detached,Two-story,Above Average,Good,1977,Gable,Standard (Composite) Shingle,Hard Board,153,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,378,311,689,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,689,703,1392,0,1,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Finished,1,299,Average/Typical,Paved,0,36,No,Minimum Privacy,Shed (over 100 SF),Mar,2010,Warranty Deed - Conventional,Normal Sale,161750
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,72,10011,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Above Average,1957&1996,Gable,Standard (Composite) Shingle,Hard Board,64,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,360,710,1070,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1236,0,1236,0,1,2,1,Good,6,Minor Deductions 1,1,Fair,Attached to the home,Unfinished,1,447,Average/Typical,Paved,0,0,No,Minimum Privacy,No,May,2006,Warranty Deed - Conventional,Normal Sale,134450
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,8450,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Good,Average,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,266,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Good Living Quarters&Unfinished,946,490,1436,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1436,0,1436,1,2,3,1,Good,8,Typical Functionality,0,No,Attached to the home,Unfinished,2,484,Average/Typical,Paved,139,98,No,No,No,Apr,2008,Warranty Deed - Conventional,Normal Sale,210000
2-STORY 1945 & NEWER,Residential Medium Density,57,9906,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,Two-story,Below Average,Below Average,1925&1950,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,686,686,Gas forced warm air furnace,Fair,No,Standard Circuit Breakers & Romex,810,518,1328,0,1,3,1,Average/Typical,8,Typical Functionality,0,No,Detached from home,Unfinished,1,210,Average/Typical,Paved,0,172,No,No,No,Sep,2006,Warranty Deed - Conventional,Sale between family members,107000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,0,15660,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Crawford,Normal,Single-family Detached,One and one-half story: 2nd level finished,Good,Excellent,1939&2006,Gable,Standard (Composite) Shingle,Vinyl Siding,312,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,341,457,798,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1137,817,1954,0,1,3,1,Good,8,Typical Functionality,2,Average,Attached to the home,Unfinished,2,431,Average/Typical,Paved,0,119,No,No,No,May,2008,Warranty Deed - Conventional,Normal Sale,311500
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,43,3010,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Bloomington Heights,Normal,Townhouse End Unit,One story,Good,Average,2005&2006,Gable,Standard (Composite) Shingle,Vinyl Siding,16,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,16,1232,1248,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1248,0,1248,0,2,2,1,Good,5,Typical Functionality,0,No,Attached to the home,Finished,2,438,Average/Typical,Paved,108,0,No,No,No,Mar,2006,Home just constructed and sold,Home was not completed when last assessed,167240
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,73,8990,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Good,Average,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Unfinished,0,1498,1498,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1498,0,1498,0,2,2,1,Good,5,Typical Functionality,0,No,Attached to the home,Rough Finished,2,675,Average/Typical,Paved,351,33,No,No,No,Apr,2006,Home just constructed and sold,Home was not completed when last assessed,204900
2-STORY 1946 & NEWER,Residential Low-Density,0,8068,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,Above Average,Average,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1010,1010,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1010,1257,2267,0,2,4,1,Good,8,Typical Functionality,1,Average,Built-In (Garage part of the house - typically has room above the garage),Rough Finished,2,390,Average/Typical,Paved,120,46,No,No,No,Dec,2009,Contract Low Interest,Normal Sale,200000
2-STORY 1946 & NEWER,Residential Low-Density,85,11475,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Adjacent to North-South Railroad&Normal,Single-family Detached,Two-story,Above Average,Above Average,1975,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,550,163,713,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,811,741,1552,1,2,3,1,Average/Typical,6,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,434,Average/Typical,Paved,209,208,No,Minimum Privacy,No,Feb,2006,Warranty Deed - Conventional,Normal Sale,179900
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,10500,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,NAmes,Normal,Single-family Detached,One story,Below Average,Above Average,1971,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Low Quality,524,160,864,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,864,0,864,0,1,2,1,Average/Typical,4,Typical Functionality,0,No,Detached from home,Unfinished,2,576,Average/Typical,Paved,216,0,No,No,No,Mar,2009,Warranty Deed - Conventional,Abnormal Sale,97000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,103,13472,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Single-family Detached,One story,Very Excellent,Average,2003,Hip,Standard (Composite) Shingle,Vinyl Siding,922,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters&Unfinished,56,2336,2392,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2392,0,2392,0,2,3,1,Excellent,8,Typical Functionality,1,Excellent,Attached to the home,Finished,3,968,Average/Typical,Paved,248,105,No,No,No,Jun,2009,Warranty Deed - Conventional,Normal Sale,386250
